Razão Social;Fundo;Segmento;Código
PANORAMA DESENVOLVIMENTO LOGÍSTICO FDO. INV. IMOB.;FII PANORAMA;;PNDL;
PANORAMA LAST MILE SBC FDO INV IMOB;FII LASTMILE;;PNLN;
PANORAMA PROPERTIES FDO. INVEST. IMOB.;FII PAN PROP;;PNPR;
PARKING PARTNERS FDO. INVEST. IMOB.;FII PARK PAR;;VTVI;
PARQUE ANHANGUERA FDO. INVEST. IMOB.;FII PARQ ANH;;PQAG;
PÁTRIA EDIFÍCIOS CORPORATIVOS FDO INV IMOB - FII;FII PATRIA;;PATC;
PÁTRIA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII PATR LOG;;PATL;
PERFORMA REAL ESTATE - FDO. INV. IMOB.;FII PERFORMA;;PEMA;
PERSONALE I FDO INV IMOB - FII;FII PERSONAL;MB;PRSN;
PLURAL LOGÍSTICA FDO. INV. IMOB.;FII PLURAL L;;PLOG;
POLO CREDITO IMOBILIARIO- FII;FII POLO CRI;;PORD;
POLO FDO INV IMOB - FII RECEBÍVEIS IMOBILIÁRIOS I;FII POLO I;;PLRI;
PRAIA DO CASTELO FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII PRAIA CS;;PCAS;
PRAZO - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;FII PRAZO;;PRZS;
PRESIDENTE VARGAS FDO INV IMOB;FII P VARGAS;;PRSV;
PROLOGIS BRAZIL LOGISTICS VENTURE FDO INV IMOB;FII PROLOGIS;;PBLV;
QUASAR AGRO - FDO INV. IMOB.;FII QUASAR A;;QAGR;
QUASAR CRÉDITO IMOBILIÁRIO FDO. INV. IMOB.;FII QUASAR C;;QAMI;
QUATA IMOB RECEBÍVEIS IMOB. - FDO. INV. IMOB.;FII QUATA;;QIRI;
R CAP 1810 FUNDO DE FUNDOS - FDO. INV. IMOB.;FII RCAP FOF;;XBXO;
RB CAPITAL DESENV RESID III FDO INV IMOB - FII;FII RBRESID3;;RSPD;
RB CAPITAL DESENV. RESID. II FDO INV IMOB - FII;FII RBRESID2;;RBDS;
RB CAPITAL DESENV. RESIDENCIAL IV FDO. INV. IMOB.;FII RBRES IV;;RBIR;
RB CAPITAL LOGÍSTICO FDO. INV. IMOB.ye;FII RBCAP LG;;RBLG;
RB CAPITAL RECEBÍVEIS IMOB. FDO. INVEST. IMOB FII;FII RBCAP RI;;RRCI;
RB CAPITAL RENDA I FDO INV IMOB - FII;FII RB CAP I;MB;FIIP;
RB CAPITAL RENDA II FDO INV IMOB - FII;FII RB II;;RBRD;
RB CAPITAL TFO SITUS FDO INV IMOB - FII;FII RB TFO;;RBTS;
RBR ALPHA MULTIESTRATÉGIA REAL ESTATE FDO INV IMOB;FII RBRALPHA;;RBRF;
RBR CRI - FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII CANVAS;;CCRF;
RBR DESENV COMERCIAL FEEDER FOF FDO INVEST IMOB;FII RBR FEED;;RCFF;
RBR LOG FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII RBR LOG;;RBRL;
RBR PLUS MULTIESTRATÉGIA REAL ESTATE FII;FII RBR MULT;;RBRX;
RBR PREMIUM RECEBÍVEIS IMOBILIÁRIOS FDO INV IMOB;FII RBR PR;;RPRI;
REAG MULTI ATIVOS IMOBILIÁRIOS - FII;FII REAGMULT;;RMAI;
RESIDENCIAIS ONE FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII RESIDONE;;REON;
RIO BRAVO CREDITO IMOB HIGH GRADE FUND DE INVEST;FII RBCRI IV;;RBHG;
RIO BRAVO CRÉDITO IMOB. HIGH YIELD FDO. INV. IMOB.;FII RB YIELD;;RBHY;
RIO BRAVO CRÉDITO IMOBILIÁRIO II FDO INV IMOB -FII;FII RIOBCRI2;;RBVO;
RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOB;FII RIOB FF;;RBFF;
RIO BRAVO RENDA RESIDENCIAL FDO. INVEST. IMOB.;FII RIOB RR;;RBRS;
RIZA AKIN FDO. INV. IMOB. FII;FII RIZA AKN;;RZAK;
RIZA ARCTIUM REAL ESTATE FDO INV IMOB;FII ARCTIUM;;ARCT;
SANTANDER PAPEIS IMOB CDI FDO INV IMOB;FII SANT PAP;;SADI;
SANTANDER RENDA DE ALUGUÉIS FDO. INVEST. IMOB.;FII SANT REN;;SARE;
SÃO CARLOS RENDA IMOBILIÁRIA FDO. INV. IMOB.;FII S CARLOS;;SACL;
SAO DOMINGOS FDO INV IMOB - FII;FII DOMINGOS;;FISD;
SEQUOIA III RENDA IMOBILIÁRIA - FDO. INV. IMOB.;FII SEQUOIA;;SEQR;
SERRA VERDE FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII SERRA VD;;SRVD;
SH SPECIAL OPPS FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII HEDGE SH;;SHSO;
SHOPPING WEST PLAZA FDO INV IMOB;FII W PLAZA;;WPLZ;
SIG CAPITAL RECEBÍVEIS PULVERIZADOS FDO INV IMOB;FII SIG CAP;;SIGR;
SINGULARE FDO INV IMOB - FII;FII REIT RIV;;REIT;
SJ AU LOGÍSTICA FDO. INV. IMOB.;FII SJ AU;;SJAU;
SOLARIUM FII - FDO INV. IMOB.;FII SOLARIUM;;SOLR;
SP DOWNTOWN FDO INV IMOB - FII;FII SP DOWNT;;SPTW;
SPA FDO INV IMOB - FII;FII SPA;;SPAF;
STARX FDO INV IMOB - FII;FII STARX;;STRX;
SUNO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO;FII SUNOFOFI;;SNFF;
SUNO RECEBÍVEIS IMOBILIÁRIOS FDO DE INV IMOB;FII SUNO CRI;;SNCI;
SUPREMO FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII SUPREMO;;SPMO;
TELLUS DESENVOLVIMENTO LOGÍSTICO FDO. INVEST. IMOB;FII TELLUS;;TELD;
TELLUS FUNDO DE FUNDOS - FII FDO DE INV IMOB;FII TELF;;TELF;
TELLUS PROPERTIES - FDO INV. IMOB;FII TEL PROP;;TEPP;
TISHMAN SPEYER RENDA CORPORATIVA FDO. INV. IMOB.;FII TISHMAN;;TSER;
TJK RENDA IMOBILIÁRIA FDO INV IMOB;FII TJK REND;;TJKB;
TORDESILHAS EI FDO. INV. IMOB.;FII TORDE EI;;TORD;
TRANSINC FDO INV IMOB - FII;FII TRANSINC;;TSNC;
TREECORP REAL ESTATE FDO INV IMOB - I;FII TREECORP;;TCPF;
TRX EDIFÍCIOS CORPORATIVOS FDO INV IMOB - FII;FII TRXE COR;;XTED;
TRX REAL ESTATE FDO. INV. IMOB. - FII;FII TRX REAL;;TRXF;
TRX REAL ESTATE II FDO. INVEST. IMOB.;FII TRX R II;;TRXB;
TS NEW MARGINAL - FDO. INV. IMOB.;FII TS NEW;;TSNM;
URCA PRIME RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII URCA REN;;URPR;
VALORA CRI CDI FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII VALREIII;;VGIR;
VALORA CRI ÍNDICE DE PREÇO FDO INVEST. IMOB. FII;FII VALORAIP;;VGIP;
VALORA HEDGE FUND FDO. INV. IMOB.;FII VALOR HE;;VGHF;
VBI CONSUMO ESSEN FDO. INVEST. IMOB.;FII VBI CON;;EVBI;
VBI REITS FOF - FDO. INV. IMOB;FII VBI REIT;;RVBI;
VECTIS JUROS REAL FDO INV. IMOB. - FII;FII VECTIS;;VCJR;
VECTIS RENDA RESIDENCIAL FDO. INV. IMOB.;FII VECT REN;;VCRR;
VECTOR QUELUZ ATIVOS IMOB FDO INV IMOB;FII VQ LAJES;;VLJS;
VENUS - FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII VENUS;;SALI;
VERSALHES RECEBÍVEIS IMOBILIÁRIOS - FDO. INV. IMOB;FII VERS CRI;;VSLH;
VIC DESENVOLVIMENTO VINTAGE 20/21 FUND INVEST IMOB;FII VIC DES;;VIDS;
VIC DESENVOLVIMENTO VINTAGE 22/23 FDO DE INV IMOB;FII VIC VIN;;VDSV;
VINCI CREDIT SECURITIES FUNDO DE INVESTIMENTO IMOB;FII VINCI CR;;VCRI;
VINCI IMÓVEIS URBANOS FDO. DE INV. IMOB.;FII VINCI IU;;VIUR;
VINCI INSTRUMENTOS FINANCEIROS FDO INV IMOB - FII;FII VINCI IF;;VIFI;
VINCI LOGÍSTICA FDO INV IMOB - FII;FII VINCI LG;;VILG;
VINCI OFFICES FDO INV IMOB;FII VINCI OF;;VINO;
VINCI SHOPPING CENTERS FDO INVEST IMOB - FII;FII VINCI SC;;VISC;
VINCI VIFI 2 FUNDO DE INVESTIMENTO IMOBILIÁRIO FII;FII VIFI 2;;VLIQ;
VOTORANTIM SECURITIES MASTER FDO INV IMOB - FII;FII V MASTER;;VOTS;
VX XVI - FDO INV. IMOB.;FII VX XVI;;VXXV;
WARREN SECURITIES FDO DE INV IMOB - FII;FII WARREN;;WVSC;
WHG REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII WHG REAL;;WHGR;
XP CORPORATE MACAÉ FDO INV IMOB - FII;FII XP MACAE;;XPCM;
XP CREDITO IMOBILIÁRIO - FDO INV IMOB;FII XP CRED;;XPCI;
XP HOTÉIS - FDO INV IMOB - FII;FII XP HOT;;XPHT;
XP INDUSTRIAL FDO INV IMOB - FII;FII XP INDL;;XPIN;
XP LOG FDO INV IMOB - FII;FII XP LOG;;XPLG;
XP MALLS FDO INV IMOB FII;FII XP MALLS;;XPML;
XP PROPERTIES FDO. INV. IMOB.;FII XP PROP;;XPPR;
XP SELECTION FDO DE FUNDOS INV IMOB - FII;FII XP SELEC;;XPSF;
YUCA FDO INV. IMOB.;FII YUCA;;YUFI;
ZION CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO FII;FII ZION;;ZIFI;
